What's your vibe today? (Choose all that apply),For the What should we do more of this week?,"On a scale of 1 to 10, how do you feel?",How do you feel about your current projects?,Implementing new ideas,How satisfied are you with the quality of your work?,Do you feel like what your work is adding value to the company mission?,Do more of ...,Do less of ...,How satisfied are you with the quality of feedback ?,Any other suggestions?
Annoyed,,8,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Absolutely!,Debugging and deploying,Figures and drawings,Adequate.,No
Enthusiastic,,8,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Below my expectations,Absolutely!,focus and sales & pitches,admin,Adequate.,F O C U SSSS on what matters!
Enthusiastic,,10,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,coordination,wasting,Adequate.,no
Tired,,7,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,QA,side tasks,Adequate.,Not this week
Relaxed,,9,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,Bug fixes,New features,Adequate.,
Enthusiastic,,10,"I know what I am supposed to do, and think its adding value.","I had new idea or side project, since sharing with the team its moving ahead.",Meeting my expectations,Absolutely!,Execution,Planning,Adequate.,No
Enthusiastic,,9,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,Testing,New features,Adequate.,None
"Tense, Frustrated, Alarmed, Annoyed",,3,"I know what I am supposed to do generally, but need some clarification.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,"QA, checking, wrap up, polishing",any new features,Adequate.,no
Tense,,8,"I know what I am supposed to do, and think its adding value.","I had new idea or side project, since sharing with the team its moving ahead.",Meeting my expectations,Absolutely!,QA and Testing,Adding Complexity,"Need more feedback! I want to improve, but I feel like I am left in the dark too often.",We need to focus on key features to make sure Takenaka / NUS launch successful
Enthusiastic,,8,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Sometimes,QA,new features,Adequate.,None
Tense,,6,"I know what I am supposed to do, but I don't think it is adding value.","I had new idea or side project, since sharing with the team its moving ahead.",Exceeding my expectations,Sometimes,"QA, Testing, Development","New tasks, Last min changes",Adequate.,None
